"GPA","Attendance","Homework","ExamScore"
3.190000057,84.375,100,57.09033638
2.730000019,68.75,87.5,50.78781503
3,93.75,87.5,63.392856125
2.039999962,96.875,100,53.939075165
3.680000067,100,100,75.9978956
3.230000019,90.625,100,47.636554985
1.539999962,93.75,75,0.367639070000003
2,81.25,100,75.9978956
2.25,75,100,50.78781503
3,90.625,100,50.78781503
3.210000038,93.75,100,53.939075165
2.049999952,59.375,50,38.182771805
2.130000114,59.375,75,53.939075165
3.579999924,90.625,100,72.846634385
2.5,90.625,62.5,60.241596695
2.099999905,93.75,100,41.334033905
1.269999981,62.5,75,38.182771805
2.769999981,100,100,35.031512375
3.150000095,96.875,100,47.636554985
2.380000114,90.625,100,38.182771805
1.769999981,84.375,75,44.485293335
2.329999924,78.125,100,53.939075165
2.329999924,96.875,100,28.72899533
3.880000114,68.75,75,72.846634385
3.289999962,84.375,87.5,72.846634385
3.799999952,90.625,100,66.54411554
3.5,100,100,69.69537497
2.140000105,78.125,100,38.182771805
2.880000114,93.75,75,63.392856125
3.269999981,78.125,100,53.939075165
3.289999962,84.375,87.5,63.392856125
2.559999943,84.375,100,50.78781503
3.25,71.875,62.5,47.636554985
2.710000038,100,100,57.09033638
2.859999895,96.875,100,53.939075165
2.5,78.125,100,41.334033905
2.150000095,56.25,62.5,69.69537497
3.5,100,87.5,69.69537497
2.160000086,96.875,100,50.78781503
2.400000095,75,25,28.72899533
3.539999962,96.875,100,66.54411554
3.650000095,96.875,100,66.54411554
2.5,100,100,28.72899533
2.119999886,78.125,87.5,44.485293335
2.5,96.875,100,50.78781503
3.809999943,100,100,75.9978956
3.099999905,93.75,50,28.72899533
3.140000105,93.75,100,44.485293335
3,93.75,87.5,60.241596695
1.210000038,31.25,NA,60.241596695
2.180000067,59.375,87.5,41.334033905
2.809999943,93.75,87.5,31.880254745
2.099999905,53.125,100,53.939075165
2.069999933,84.375,87.5,47.636554985
1.360000014,84.375,62.5,38.182771805
3,84.375,87.5,63.392856125
1.960000038,87.5,100,35.031512375
2.859999895,93.75,100,79.149155015
2.609999895,93.75,87.5,44.485293335
2.710000038,93.75,87.5,41.334033905
2.890000105,96.875,100,41.334033905
2.859999895,81.25,100,57.09033638
2.349999905,78.125,50,66.54411554
2.640000105,75,100,35.031512375
3.289999962,59.375,87.5,79.149155015
